instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
50v-10,samaya,time_limit,3677.5799898207183,59.897210455,59.9066,106818,MILP,True
ran14x18-disj-8,samaya,time_limit,3783,59.910435706,59.9161,77678,MILP,True
gen-ip054,samaya,time_limit,6852.1883509,59.396516666,59.4144,2597008,MILP,True
pk1,samaya,optimal,11,10.621448953,10.6332,418484,MILP,True
neos859080,samaya,infeasible,,0.191972392,0.1937,81,MILP,False
neos-911970,samaya,time_limit,57.439999900682885,58.629549692,58.6635,1609830,MILP,True
b1c1s1,samaya,time_limit,38120.60999823519,60.00918519,60.0161,4299,MILP,True
exp-1-500-5-5,samaya,time_limit,84567.99998687943,59.94160511,59.9489,65334,MILP,True
qap10,samaya,time_limit,378,60.006512788,60.0125,1,MILP,True
mas76,samaya,optimal,40005.05414199999,18.537230871,18.5421,786587,MILP,True
neos5,samaya,time_limit,15,59.676509681,59.6867,868180,MILP,True
sp150x300d,samaya,time_limit,70,59.821559259,59.833,196279,MILP,True
neos17,samaya,time_limit,0.15025236763236763,59.962241174,59.9732,247000,MILP,True
neos-4954672-berkel,samaya,time_limit,3469253.9999969797,59.930594005,59.9372,72982,MILP,True
neos-4738912-atrato,samaya,time_limit,,60.004272103,60.0112,1,MILP,False
neos-2657525-crna,samaya,time_limit,30.6960116,59.77299665,59.7847,404185,MILP,True
neos-3627168-kasai,samaya,time_limit,997147.3399999997,59.964986791,59.9709,42231,MILP,True
neos-3754480-nidda,samaya,time_limit,14089.025230138956,59.547027611,59.5578,486292,MILP,True
beasleyC3,samaya,time_limit,946,60.009587004,60.0148,1529,MILP,True
graph20-20-1rand,samaya,time_limit,,60.008293872,60.0222,97,MILP,False
glass4,samaya,time_limit,1850016549.4999816,59.600615731,59.6163,748019,MILP,True
supportcase26,samaya,time_limit,1844.6526919928817,59.653362971,59.6647,923754,MILP,True
milo-v12-6-r2-40-1,samaya,time_limit,328802.32031805074,60.012460346,60.0205,800,MILP,True
fhnw-binpack4-48,samaya,time_limit,,60.009731933,60.0179,772,MILP,False
uct-subprob,samaya,time_limit,347.999999991,60.00203045,60.0109,3283,MILP,True
gmu-35-40,samaya,time_limit,-2404250.7366,59.658358295,59.6863,648937,MILP,True
fastxgemm-n2r6s0t2,samaya,time_limit,236,60.006041284,60.0163,8485,MILP,True
graphdraw-domain,samaya,time_limit,25181.999997708048,59.965185101,59.9739,96878,MILP,True
pg,samaya,time_limit,-8651.607714698392,60.013620134,60.0218,4427,MILP,True
rococoB10-011000,samaya,time_limit,,60.00305037,60.0188,132,MILP,False
binkar10_1,samaya,time_limit,6747.31001455705,59.982907039,59.9971,118290,MILP,True
