instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
reblock115,samaya,time_limit,,60.014979055,60.0224,43,MILP,False
gen-ip002,samaya,time_limit,-4773.1468193,59.076094865,59.1323,2247621,MILP,True
ic97_potential,samaya,time_limit,,59.857745362,59.8674,248516,MILP,False
n5-3,samaya,time_limit,9544.999999421607,59.996976502,60.0048,17792,MILP,True
nu25-pr12,samaya,optimal,53905,38.531930708,38.5433,12259,MILP,True
p200x1188c,samaya,time_limit,15078,59.966894184,59.9793,90836,MILP,True
mas74,samaya,time_limit,11893.87257479999,58.076878768,58.0944,2326316,MILP,True
markshare_4_0,samaya,optimal,1,4.358145282,4.3679,1274854,MILP,True
cost266-UUE,samaya,time_limit,26427702.12,60.007202095,60.0186,10137,MILP,True
tr12-30,samaya,time_limit,136890.99998869936,59.971471781,59.9765,29021,MILP,True
enlight_hard,samaya,time_limit,37,59.734032273,59.7425,758759,MILP,True
mik-250-20-75-4,samaya,time_limit,-52301,59.878194131,59.8858,262130,MILP,True
neos-5107597-kakapo,samaya,time_limit,,60.005141215,60.0128,380,MILP,False
neos-3024952-loue,samaya,time_limit,,60.011127258,60.0211,219,MILP,False
neos-4338804-snowy,samaya,time_limit,1908,59.90904,59.9149,106856,MILP,True
neos-3381206-awhea,samaya,time_limit,,59.705912016,59.729,471596,MILP,False
neos-3046615-murg,samaya,time_limit,1630,59.560974837,59.578,944927,MILP,True
app1-1,samaya,optimal,-3,14.03133423,14.0386,31,MILP,True
csched008,samaya,time_limit,183,59.944624406,59.9501,54724,MILP,True
mad,samaya,time_limit,0.16639999999999988,58.802672021,58.8422,1828871,MILP,True
gmu-35-50,samaya,time_limit,-2604551.0901,59.82433915,59.8413,460991,MILP,True
cvs16r128-89,samaya,time_limit,-2,60.052943564,60.0626,1,MILP,True
fhnw-binpack4-4,samaya,time_limit,,59.744024637,59.7526,451101,MILP,False
mcsched,samaya,time_limit,216909,60.000962905,60.0055,180,MILP,True
lotsize,samaya,time_limit,2366998.999945304,60.01413137,60.0192,394,MILP,True
rococoC10-001000,samaya,time_limit,,60.002420181,60.0088,1,MILP,False
mc11,samaya,time_limit,14634,60.014677958,60.0217,632,MILP,True
timtab1,samaya,time_limit,959758.9998254159,59.883181488,59.8924,356645,MILP,True
csched007,samaya,time_limit,,59.99005796,59.9978,10022,MILP,False
assign1-5-8,samaya,time_limit,212,59.933715822,59.9402,125427,MILP,True
pg5_34,samaya,time_limit,-14324.807778355593,59.9947233,60.0021,10418,MILP,True
