instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
afiro,samaya,optimal,-464.75314285714285,0.00014316,0.0044,0,LP,True
afiro,highspy,optimal,-464.75314285714285,0.00048609599980409257,0.0005,,LP,
afiro,scip,optimal,-464.75314285714273,0.0012286459996175836,0.0012,,LP,
afiro,cbc,optimal,-464.75314,0.04433321499982412,0.0443,,,
afiro,glpk,optimal,-464.7531429,0.010940106999441923,0.0109,,,
beaconfd,samaya,optimal,33592.4858072,0.00137028,0.0073,0,LP,True
beaconfd,highspy,optimal,33592.4858072,0.0017565110001669382,0.0018,,LP,
beaconfd,scip,optimal,33592.485807200006,0.002905133999774989,0.0029,,LP,
beaconfd,cbc,optimal,33592.486,0.004221007000523969,0.0042,,,
beaconfd,glpk,optimal,33592.48581,0.003227997000067262,0.0032,,,
boeing2,samaya,optimal,-315.0187280152029,0.001114324,0.0028,0,LP,True
boeing2,highspy,optimal,-315.0187280152027,0.0016983579998850473,0.0017,,LP,
boeing2,scip,optimal,-315.0187280152029,0.0030821690006632707,0.0031,,LP,
boeing2,cbc,optimal,-315.01873,0.004442547000508057,0.0044,,,
boeing2,glpk,optimal,-315.018728,0.003347050000229501,0.0033,,,
czprob,samaya,optimal,2185196.6988565773,0.024647269,0.0286,0,LP,True
czprob,highspy,optimal,2185196.698856578,0.01799856500019814,0.018,,LP,
czprob,scip,optimal,2185196.6988565777,0.044461340000452765,0.0445,,LP,
czprob,cbc,optimal,2185196.7,0.013753280999480921,0.0138,,,
czprob,glpk,optimal,2185196.699,0.032083793000310834,0.0321,,,
dfl001,samaya,optimal,11266396.046671394,11.068181177,11.0804,0,LP,True
dfl001,highspy,optimal,11266396.04667138,4.758180122999875,4.7582,,LP,
dfl001,scip,optimal,11266396.046674728,14.50334652499987,14.5033,,LP,
dfl001,cbc,optimal,11266396.0,4.403809362999709,4.4038,,,
dfl001,glpk,optimal,11266396.05,20.36341530899972,20.3634,,,
fit1d,samaya,optimal,-9146.378092420926,0.0042244,0.0117,0,LP,True
fit1d,highspy,optimal,-9146.378092420928,0.006656438000391063,0.0067,,LP,
fit1d,scip,optimal,-9146.378092420926,0.06859886300026119,0.0686,,LP,
fit1d,cbc,optimal,-9146.3781,0.008933942000112438,0.0089,,,
fit1d,glpk,optimal,-9146.378092,0.024975989000267873,0.025,,,
ganges,samaya,optimal,-109585.73612927794,0.019302354,0.0232,0,LP,True
ganges,highspy,optimal,-109585.73612927813,0.007884953999564459,0.0079,,LP,
ganges,scip,optimal,-109585.73612943174,0.02376639799967961,0.0238,,LP,
ganges,cbc,optimal,-109585.74,0.009649677000197698,0.0096,,,
ganges,glpk,optimal,-109585.7361,0.02216640999995434,0.0222,,,
grow22,samaya,optimal,-160834336.4825629,0.069349734,0.0844,0,LP,True
grow22,highspy,optimal,-160834336.48256296,0.0548877649998758,0.0549,,LP,
grow22,scip,optimal,-160834336.48256296,0.077671693999946,0.0777,,LP,
grow22,cbc,optimal,-160834340.0,0.018132757999410387,0.0181,,,
grow22,glpk,optimal,-160834336.5,0.032720932999836805,0.0327,,,
maros-r7,samaya,optimal,1497185.1664796437,3.508780226,3.5332,0,LP,True
maros-r7,highspy,optimal,1497185.1664796423,0.4809302319999915,0.4809,,LP,
maros-r7,scip,optimal,1497185.1664796453,0.6446086149999246,0.6446,,LP,
maros-r7,cbc,optimal,1497185.2,0.7172521960001177,0.7173,,,
maros-r7,glpk,optimal,1497185.166,1.4153793339992262,1.4154,,,
pilot.ja,samaya,optimal,-6113.136465610949,0.068418131,0.0777,0,LP,True
pilot.ja,highspy,optimal,-6113.136465581338,0.05922246499994799,0.0592,,LP,
pilot.ja,scip,optimal,-6113.136465581344,0.24374415400052385,0.2437,,LP,
pilot.ja,cbc,optimal,-6113.1367,0.14649494200057234,0.1465,,,
pilot.ja,glpk,optimal,-6113.136466,0.11120502099947771,0.1112,,,
pilotnov,samaya,optimal,-4497.2761882188715,0.043917143,0.0491,0,LP,True
pilotnov,highspy,optimal,-4497.2761882188715,0.1043890860000829,0.1044,,LP,
pilotnov,scip,optimal,-4497.276188218871,0.1188207909999619,0.1188,,LP,
pilotnov,cbc,optimal,-4497.2762,0.05694029500045872,0.0569,,,
pilotnov,glpk,optimal,-4497.276188,0.06015296799978387,0.0602,,,
sc50b,samaya,optimal,-70,0.000286605,0.0024,0,LP,True
sc50b,highspy,optimal,-69.99999999999999,0.00045372200020210585,0.0005,,LP,
sc50b,scip,optimal,-69.99999999999999,0.0008151739993991214,0.0008,,LP,
sc50b,cbc,optimal,-70.0,0.0036089710001760977,0.0036,,,
sc50b,glpk,optimal,-70.0,0.0013610289997814107,0.0014,,,
scfxm3,samaya,optimal,54901.25454975146,0.024135428,0.0274,0,LP,True
scfxm3,highspy,optimal,54901.254549751444,0.019561628999326786,0.0196,,LP,
scfxm3,scip,optimal,54901.25454975145,0.04635145999964152,0.0464,,LP,
scfxm3,cbc,optimal,54901.255,0.02340246199946705,0.0234,,,
scfxm3,glpk,optimal,54901.25455,0.021184535999964282,0.0212,,,
scsd8,samaya,optimal,904.9999999254644,0.017008394,0.0217,0,LP,True
scsd8,highspy,optimal,904.9999999254643,0.026037184000415436,0.026,,LP,
scsd8,scip,optimal,904.9999999254644,0.05430305900063104,0.0543,,LP,
scsd8,cbc,optimal,905.0,0.025286577999395377,0.0253,,,
scsd8,glpk,optimal,904.9999999,0.017810871000619954,0.0178,,,
share1b,samaya,optimal,-76589.31857918568,0.001412389,0.0045,0,LP,True
share1b,highspy,optimal,-76589.31857918572,0.0019051069994020509,0.0019,,LP,
share1b,scip,optimal,-76589.31857918561,0.005528298000172072,0.0055,,LP,
share1b,cbc,optimal,-76589.319,0.004825294000511349,0.0048,,,
share1b,glpk,optimal,-76589.31858,0.0032088630005091545,0.0032,,,
ship08l,samaya,optimal,1909055.2113891314,0.008492392,0.0132,0,LP,True
ship08l,highspy,optimal,1909055.211389131,0.010242309999739518,0.0102,,LP,
ship08l,scip,optimal,1909055.2113891318,0.036908252999637625,0.0369,,LP,
ship08l,cbc,optimal,1909055.2,0.013681800999620464,0.0137,,,
ship08l,glpk,optimal,1909055.211,0.020772374999978638,0.0208,,,
stair,samaya,optimal,-251.26695119296153,0.011831497,0.0158,0,LP,True
stair,highspy,optimal,-251.26695119296335,0.008975030000328843,0.009,,LP,
stair,scip,optimal,-251.2669511929633,0.02821039800073777,0.0282,,LP,
stair,cbc,optimal,-251.26695,0.011553016000107164,0.0116,,,
stair,glpk,optimal,-251.2669512,0.01545546400029707,0.0155,,,
stocfor2,samaya,optimal,-39024.40853788204,0.07568417,0.0805,0,LP,True
stocfor2,highspy,optimal,-39024.408537882104,0.016761592999500863,0.0168,,LP,
stocfor2,scip,optimal,-39024.40853788204,0.055440852000174345,0.0554,,LP,
stocfor2,cbc,optimal,-39024.409,0.01802437300011661,0.018,,,
stocfor2,glpk,optimal,-39024.40854,0.050960022999788634,0.051,,,
