instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
adlittle,samaya,optimal,225494.9631623803,0.000636023,0.0049,0,LP,True
adlittle,highspy,optimal,225494.9631623803,0.0011014669998985482,0.0011,,LP,
adlittle,scip,optimal,225494.9631623802,0.015774528000292776,0.0158,,LP,
adlittle,cbc,optimal,225494.96,0.028726720999657118,0.0287,,,
adlittle,glpk,optimal,225494.9632,0.011108384999715781,0.0111,,,
bandm,samaya,optimal,-158.62801845011572,0.013718725,0.0193,0,LP,True
bandm,highspy,optimal,-158.62801845012078,0.006279623999944306,0.0063,,LP,
bandm,scip,optimal,-158.62801845012095,0.016571275999922364,0.0166,,LP,
bandm,cbc,optimal,-158.62802,0.008305589999508811,0.0083,,,
bandm,glpk,optimal,-158.6280185,0.0073804700004984625,0.0074,,,
boeing1,samaya,optimal,-335.21356750712664,0.007215054,0.0097,0,LP,True
boeing1,highspy,optimal,-335.21356750712675,0.007466954999472364,0.0075,,LP,
boeing1,scip,optimal,-335.21356750712664,0.012671252000473032,0.0127,,LP,
boeing1,cbc,optimal,-335.21357,0.0088473959995099,0.0088,,,
boeing1,glpk,optimal,-335.2135675,0.009459630999117508,0.0095,,,
cycle,samaya,optimal,-5.226393024894103,0.036534702,0.0435,0,LP,True
cycle,highspy,optimal,-5.226393024894102,0.17167620300006092,0.1717,,LP,
cycle,scip,optimal,-5.226393024894102,0.07676054400053545,0.0768,,LP,
cycle,cbc,optimal,-5.226393,0.01939774599941302,0.0194,,,
cycle,glpk,optimal,-5.226393025,0.03379743200002849,0.0338,,,
degen3,samaya,optimal,-987.294,0.215519132,0.2219,0,LP,True
degen3,highspy,optimal,-987.2940000000007,0.12528638900039368,0.1253,,LP,
degen3,scip,optimal,-987.294,0.627037487999587,0.627,,LP,
degen3,cbc,optimal,-987.294,0.12466391100042529,0.1247,,,
degen3,glpk,optimal,-987.294,0.19883152100010193,0.1988,,,
finnis,samaya,optimal,172791.0655956116,0.003047064,0.0061,0,LP,True
finnis,highspy,optimal,172791.06559561164,0.00359099400066043,0.0036,,LP,
finnis,scip,optimal,172791.0655956116,0.011258214000008593,0.0113,,LP,
finnis,cbc,optimal,172791.07,0.008518922999428469,0.0085,,,
finnis,glpk,optimal,172791.0656,0.008940489999986312,0.0089,,,
forplan,samaya,optimal,-664.2189612722019,0.00276896,0.0053,0,LP,True
forplan,highspy,optimal,-664.2189612722054,0.003806333000284212,0.0038,,LP,
forplan,scip,optimal,-664.2189612722042,0.019137900999339763,0.0191,,LP,
forplan,cbc,optimal,-664.21896,0.006668865000392543,0.0067,,,
forplan,glpk,optimal,-664.2189613,0.005699053000171261,0.0057,,,
grow15,samaya,optimal,-106870941.29357533,0.030381788,0.0331,0,LP,True
grow15,highspy,optimal,-106870941.29357533,0.02668775900019682,0.0267,,LP,
grow15,scip,optimal,-106870941.29357533,0.11027699300029781,0.1103,,LP,
grow15,cbc,optimal,-106870940.0,0.011572668000553676,0.0116,,,
grow15,glpk,optimal,-106870941.3,0.015202246000626474,0.0152,,,
