instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
mrpl_crude_large,samaya,optimal,1596509.8832812055,13.870283004,13.8726,33201,MILP,True
mrpl_crude_large,highspy,optimal,1596620.8832805906,1.6937640529995406,1.6938,37,MILP,
mrpl_crude_large,scip,gaplimit,1596572.4878037872,1.7878020060006747,1.7878,177,MILP,
mrpl_crude_large,cbc,optimal,1596620.88328058,1.5795531820003816,1.5796,750,,
mrpl_crude_large,glpk,optimal,1596509.883,121.26002458400035,121.26,,,
mrpl_plan_small,samaya,optimal,933184.6945399827,0.001981176,0.0036,0,LP,True
mrpl_plan_small,highspy,optimal,933184.6945399826,0.0017766629998732242,0.0018,,LP,
mrpl_plan_small,scip,optimal,933184.6945399826,0.002909023999563942,0.0029,,LP,
mrpl_plan_small,cbc,optimal,933184.69,0.005179587000384345,0.0052,,,
mrpl_plan_small,glpk,optimal,933184.6945,0.0029308100001799176,0.0029,,,
facility_20x80,samaya,optimal,5709.306442711055,0.042583991,0.0468,1,MILP,True
facility_20x80,highspy,optimal,5709.306442711184,0.07660391699937463,0.0766,1,MILP,
facility_20x80,scip,optimal,5709.306442711184,0.11623706299997139,0.1162,1,MILP,
facility_20x80,cbc,optimal,5709.30644271,0.21683365700027935,0.2168,0,,
facility_20x80,glpk,optimal,5709.306443,0.10161119500025961,0.1016,,,
refsched_8c_6p_3u_26t,samaya,optimal,537893.4278982759,37.260707022,37.2693,2178,MILP,True
refsched_8c_6p_3u_26t,highspy,optimal,537909.220728702,29.32691247599996,29.3269,2262,MILP,
refsched_8c_6p_3u_26t,scip,optimal,537917.9742794468,29.01951786800055,29.0195,1250,MILP,
refsched_8c_6p_3u_26t,cbc,optimal,537917.97427945,74.75313730500056,74.7531,10489,,
refsched_8c_6p_3u_26t,glpk,time_limit,535902.6,300.0629801369996,300.063,,,
