instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
gen-ip002,samaya,time_limit,-4783.7333916,59.249756042,59.5673,507428,MILP,True
gen-ip002,highspy,time_limit,-4772.258675,60.003349163000166,60.0033,63096,MILP,
gen-ip002,scip,time_limit,-4783.733391599999,60.00156740500006,60.0016,261784,MILP,
gen-ip002,cbc,time_limit,-4783.7333916,71.62521875399943,71.6252,191874,,
neos859080,samaya,infeasible,,0.239053031,0.2458,81,MILP,False
neos859080,highspy,infeasible,,1.5123136299998805,1.5123,1102,MILP,
neos859080,scip,infeasible,,0.6569618550001906,0.657,428,MILP,
neos859080,cbc,time_limit,,74.62318054699972,74.6232,157005,,
mas74,samaya,time_limit,12057.132083800001,59.524950745,59.5368,506270,MILP,True
mas74,highspy,time_limit,12014.89237909993,60.004618261999894,60.0046,72792,MILP,
mas74,scip,time_limit,12062.558886799992,60.00047167199955,60.0005,53261,MILP,
mas74,cbc,time_limit,11801.185729,80.05884701600007,80.0588,403629,,
mas76,samaya,time_limit,40005.05414199999,59.908930625,59.9199,527748,MILP,True
mas76,highspy,time_limit,40005.054141,60.00381384600041,60.0038,134354,MILP,
mas76,scip,time_limit,40005.054142,60.00034932899962,60.0003,140252,MILP,
mas76,cbc,optimal,40005.054142,43.28929957299988,43.2893,178536,,
mik-250-20-75-4,samaya,time_limit,-52301,59.957336643,59.9671,42945,MILP,True
mik-250-20-75-4,highspy,optimal,-52301.00000000001,15.82109046900041,15.8211,4201,MILP,
mik-250-20-75-4,scip,optimal,-52300.9999999997,40.84158175899938,40.8416,11461,MILP,
mik-250-20-75-4,cbc,optimal,-52301.0,27.645119040999816,27.6451,6296,,
neos-4738912-atrato,samaya,time_limit,,60.002929776,60.0168,1,MILP,False
neos-4738912-atrato,highspy,time_limit,285377827.54262,60.013189521999266,60.0132,855,MILP,
neos-4738912-atrato,scip,time_limit,285157075.50742996,60.001963671999874,60.002,621,MILP,
neos-4738912-atrato,cbc,time_limit,288496103.03757995,60.300747651000165,60.3007,1237,,
neos-3046615-murg,samaya,time_limit,1727,59.910171747,59.9242,200342,MILP,True
neos-3046615-murg,highspy,time_limit,1614.0,60.004810228999304,60.0048,56073,MILP,
neos-3046615-murg,scip,time_limit,1638.0,60.00082868499976,60.0008,88862,MILP,
neos-3046615-murg,cbc,time_limit,1722.0,61.1945581810005,61.1946,13339,,
graph20-20-1rand,samaya,time_limit,,60.009807111,60.0296,95,MILP,False
graph20-20-1rand,highspy,time_limit,-8.00000000000211,60.009565072999976,60.0096,2,MILP,
graph20-20-1rand,scip,optimal,-9.0,6.541843811000035,6.5418,413,MILP,
graph20-20-1rand,cbc,time_limit,-8.0,60.70899420299975,60.709,0,,
cvs16r128-89,samaya,time_limit,-2,60.034912672,60.0486,1,MILP,True
cvs16r128-89,highspy,time_limit,-3.0,61.57707995799956,61.5771,0,MILP,
cvs16r128-89,scip,time_limit,-67.0,60.0010895230007,60.0011,8,MILP,
cvs16r128-89,cbc,time_limit,-91.0,59.78970811199906,59.7897,71,,
uct-subprob,samaya,time_limit,352.99999994291665,60.004287415,60.0199,273,MILP,True
uct-subprob,highspy,time_limit,328.0,60.00703581700145,60.007,809,MILP,
uct-subprob,scip,time_limit,332.0,60.00292906600043,60.0029,355,MILP,
uct-subprob,cbc,time_limit,338.0,60.09775309500037,60.0978,282,,
mc11,samaya,time_limit,14634,60.0025188,60.0116,459,MILP,True
mc11,highspy,optimal,11689.0,47.42321440699925,47.4232,675,MILP,
mc11,scip,optimal,11689.0,19.53209713599972,19.5321,1,MILP,
mc11,cbc,time_limit,13509.0,61.25553902300089,61.2555,489,,
rococoB10-011000,samaya,time_limit,,60.00520714,60.0183,161,MILP,False
rococoB10-011000,highspy,time_limit,22871.0,60.031848628999796,60.0318,438,MILP,
rococoB10-011000,scip,time_limit,23737.0,60.001186215000416,60.0012,82,MILP,
rococoB10-011000,cbc,time_limit,22677.0,59.80822462600008,59.8082,485,,
