instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
50v-10,samaya,time_limit,3831.2799976468077,59.978931803,59.986,17651,MILP,True
50v-10,highspy,time_limit,3553.439985334873,60.005563601000176,60.0056,1685,MILP,
50v-10,scip,time_limit,3430.9899930208912,60.001054905000274,60.0011,1186,MILP,
50v-10,cbc,time_limit,3575.50000313,61.96834481099995,61.9683,16467,,
ic97_potential,samaya,time_limit,,59.95962079,59.9688,49272,MILP,False
ic97_potential,highspy,time_limit,3951.9999999999736,60.00439893899966,60.0044,3911,MILP,
ic97_potential,scip,time_limit,4007.0,60.00029737299974,60.0003,11407,MILP,
ic97_potential,cbc,time_limit,3949.0,61.08632381999996,61.0863,8702,,
neos-911970,samaya,time_limit,60.549999854385696,59.834385509,59.8447,272075,MILP,True
neos-911970,highspy,optimal,54.76000000000019,12.41339375500047,12.4134,1370,MILP,
neos-911970,scip,optimal,54.76,12.467081486000097,12.4671,1081,MILP,
neos-911970,cbc,time_limit,55.53,61.456796085999486,61.4568,12817,,
markshare_4_0,samaya,optimal,1.0000000000000142,15.435824457,15.4438,1287370,MILP,True
markshare_4_0,highspy,time_limit,1.0,60.00636834400029,60.0064,446316,MILP,
markshare_4_0,scip,time_limit,1.0,60.00016122800025,60.0002,939600,MILP,
markshare_4_0,cbc,time_limit,1.0,89.03707326599942,89.0371,639257,,
neos5,samaya,time_limit,15,59.840191852,59.8864,118845,MILP,True
neos5,highspy,time_limit,14.999999999982984,60.001481147999584,60.0015,93517,MILP,
neos5,scip,time_limit,15.0,60.0005781130003,60.0006,70679,MILP,
neos5,cbc,time_limit,15.0,68.88203488399995,68.882,119468,,
neos-5107597-kakapo,samaya,time_limit,,60.004762712,60.0183,197,MILP,False
neos-5107597-kakapo,highspy,time_limit,,60.02004754900008,60.02,0,MILP,
neos-5107597-kakapo,scip,time_limit,5436.0,60.0027894599998,60.0028,4839,MILP,
neos-5107597-kakapo,cbc,time_limit,,61.169664502999694,61.1697,445,,
neos-2657525-crna,samaya,time_limit,30.6960116,59.918604182,59.9287,71494,MILP,True
neos-2657525-crna,highspy,time_limit,,60.00606199199956,60.0061,21232,MILP,
neos-2657525-crna,scip,time_limit,8.2809932,60.00076717899992,60.0008,37043,MILP,
neos-2657525-crna,cbc,time_limit,,68.08597253599964,68.086,97887,,
app1-1,samaya,optimal,-3,15.544856017,15.5583,31,MILP,True
app1-1,highspy,optimal,-3.0,22.414251340999726,22.4143,2663,MILP,
app1-1,scip,optimal,-3.0,8.112167198999487,8.1122,36,MILP,
app1-1,cbc,optimal,-3.0,5.6025068830003875,5.6025,41,,
glass4,samaya,time_limit,2516690632.8333297,59.877330274,59.8852,132100,MILP,True
glass4,highspy,time_limit,1800017500.0,60.00189062900063,60.0019,24917,MILP,
glass4,scip,time_limit,2100017200.0,60.000225527999646,60.0002,9660,MILP,
glass4,cbc,time_limit,2033351033.3333333,61.668362738000724,61.6684,11517,,
fhnw-binpack4-4,samaya,time_limit,,59.943925253,59.955,77669,MILP,False
fhnw-binpack4-4,highspy,time_limit,,60.001695237000604,60.0017,35696,MILP,
fhnw-binpack4-4,scip,infeasible,,18.032855393001228,18.0329,22512,MILP,
fhnw-binpack4-4,cbc,time_limit,,61.64208092900117,61.6421,26715,,
gmu-35-40,samaya,time_limit,-2399308.0864,59.876897762,59.8905,126981,MILP,True
gmu-35-40,highspy,time_limit,-2405541.2503000004,60.01411617600024,60.0141,10757,MILP,
gmu-35-40,scip,time_limit,-2405176.3835999994,59.55194863500037,59.5519,24784,MILP,
gmu-35-40,cbc,time_limit,-2401352.5298,67.09628455200072,67.0963,78057,,
timtab1,samaya,time_limit,,59.925536037,59.9586,83394,MILP,False
timtab1,highspy,optimal,764773.9999997794,59.098872648000906,59.0989,9046,MILP,
timtab1,scip,time_limit,764771.9999998803,60.000333464000505,60.0003,24002,MILP,
timtab1,cbc,time_limit,794647.99999988,61.08499191299961,61.085,9773,,
binkar10_1,samaya,time_limit,6752.040004733275,59.953356158,59.9645,41029,MILP,True
binkar10_1,highspy,optimal,6742.200024000088,20.265637496000636,20.2656,1547,MILP,
binkar10_1,scip,optimal,6742.200023998389,24.877423515999908,24.8774,1859,MILP,
binkar10_1,cbc,optimal,6742.200024,55.72201606799899,55.722,16589,,
