instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
gen-ip054,samaya,time_limit,6876.784690311,58.926611292,59.43,739778,MILP,True
gen-ip054,highspy,time_limit,6858.262906057774,60.00875477400041,60.0088,278828,MILP,
gen-ip054,scip,time_limit,6857.169059349,60.00296973900004,60.003,324428,MILP,
gen-ip054,cbc,time_limit,6855.18275551,73.44218308899963,73.4422,214203,,
nu25-pr12,samaya,time_limit,53905,60.00321244,60.0158,8217,MILP,True
nu25-pr12,highspy,optimal,53904.99999999999,5.562669148000168,5.5627,19,MILP,
nu25-pr12,scip,optimal,53905.0,3.525052668999706,3.5251,9,MILP,
nu25-pr12,cbc,optimal,53905.0,28.009797759999856,28.0098,5200,,
exp-1-500-5-5,samaya,time_limit,91281.99998770225,59.976577486,59.9863,16681,MILP,True
exp-1-500-5-5,highspy,optimal,65887.0,3.6817004750000706,3.6817,1,MILP,
exp-1-500-5-5,scip,optimal,65887.0,2.5848078890003308,2.5848,1,MILP,
exp-1-500-5-5,cbc,time_limit,79344.0,62.1958096190001,62.1958,9354,,
tr12-30,samaya,time_limit,138752.999993265,59.990715407,60.0273,7357,MILP,True
tr12-30,highspy,time_limit,130624.0,60.001805207999496,60.0018,3792,MILP,
tr12-30,scip,time_limit,130599.0,60.00021530400045,60.0002,13474,MILP,
tr12-30,cbc,time_limit,138404.0,61.16233952700077,61.1623,3069,,
neos17,samaya,time_limit,0.15096402597402597,59.986736916,60.0031,45633,MILP,True
neos17,highspy,optimal,0.1500025774225771,8.416969536999204,8.417,428,MILP,
neos17,scip,optimal,0.15000257742257772,7.553709797999545,7.5537,2672,MILP,
neos17,cbc,time_limit,0.15095268,63.679543147000004,63.6795,24983,,
neos-4338804-snowy,samaya,time_limit,1909,59.975555382,59.9865,21257,MILP,True
neos-4338804-snowy,highspy,time_limit,1486.9999959999996,60.00692869999966,60.0069,13104,MILP,
neos-4338804-snowy,scip,time_limit,1538.0,60.00136130100054,60.0014,16052,MILP,
neos-4338804-snowy,cbc,time_limit,1754.0,62.82125855300001,62.8213,18483,,
neos-3754480-nidda,samaya,time_limit,14016.816453764932,59.915063855,59.9223,100905,MILP,True
neos-3754480-nidda,highspy,time_limit,13746.260935917864,60.00051070200061,60.0005,53519,MILP,
neos-3754480-nidda,scip,time_limit,13738.572441257686,60.00110182499975,60.0011,142887,MILP,
neos-3754480-nidda,cbc,time_limit,13472.60517522,67.66426408299958,67.6643,81930,,
mad,samaya,time_limit,0.14320000000000035,59.631869844,59.6442,358147,MILP,True
mad,highspy,time_limit,0.2087999999998818,60.00764715999958,60.0076,62494,MILP,
mad,scip,time_limit,0.11340000000000024,60.000524148000295,60.0005,61953,MILP,
mad,cbc,time_limit,0.1804,66.07104958400032,66.071,102552,,
milo-v12-6-r2-40-1,samaya,time_limit,,60.008819729,60.024,373,MILP,False
milo-v12-6-r2-40-1,highspy,time_limit,328912.7575440647,60.004190828999526,60.0042,1122,MILP,
milo-v12-6-r2-40-1,scip,time_limit,476074.4218955502,60.0058219120001,60.0058,3,MILP,
milo-v12-6-r2-40-1,cbc,time_limit,350503.16877353,61.496606939999765,61.4966,1820,,
lotsize,samaya,time_limit,,60.006474535,60.0155,405,MILP,False
lotsize,highspy,time_limit,1501725.0000000007,60.05969641900083,60.0597,2,MILP,
lotsize,scip,time_limit,5062268.0,60.00077171999874,60.0008,1,MILP,
lotsize,cbc,time_limit,2305027.0,61.48248963900005,61.4825,2165,,
graphdraw-domain,samaya,time_limit,22705.999999327298,59.968010046,59.9771,23819,MILP,True
graphdraw-domain,highspy,time_limit,20724.999999999996,60.01026343400008,60.0103,22858,MILP,
graphdraw-domain,scip,time_limit,19848.000000000004,59.551347898999666,59.5513,55152,MILP,
graphdraw-domain,cbc,time_limit,23022.0,61.00174604899985,61.0017,5692,,
assign1-5-8,samaya,time_limit,212,59.966798969,59.975,25474,MILP,True
assign1-5-8,highspy,time_limit,211.99999999999986,60.00265426599981,60.0027,17761,MILP,
assign1-5-8,scip,time_limit,212.0,60.00015087099928,60.0002,19754,MILP,
assign1-5-8,cbc,time_limit,212.0,61.04524432400103,61.0452,12093,,
