instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
ran14x18-disj-8,samaya,time_limit,3832.999997989701,59.98229289,59.9882,16410,MILP,True
ran14x18-disj-8,highspy,time_limit,3735.999997619834,60.00654451099945,60.0065,3091,MILP,
ran14x18-disj-8,scip,time_limit,3744.000000061482,60.00062623699978,60.0006,1250,MILP,
ran14x18-disj-8,cbc,time_limit,3809.0,61.229129257999375,61.2291,12501,,
n5-3,samaya,time_limit,10675.013154358336,59.995718133,60.0048,4358,MILP,True
n5-3,highspy,optimal,8105.000000000003,38.0583383610001,38.0583,566,MILP,
n5-3,scip,optimal,8104.999999999999,46.09714534900013,46.0971,1438,MILP,
n5-3,cbc,time_limit,8539.0,62.5230369410001,62.523,11007,,
b1c1s1,samaya,time_limit,38120.60999823519,60.003832111,60.0157,1620,MILP,True
b1c1s1,highspy,time_limit,28095.620000000003,60.010871512999984,60.0109,262,MILP,
b1c1s1,scip,time_limit,69333.52,60.00198690400066,60.002,1,MILP,
b1c1s1,cbc,time_limit,29372.31,60.403351083000416,60.4034,449,,
cost266-UUE,samaya,time_limit,27785615.98,60.001403075,60.0166,1613,MILP,True
cost266-UUE,highspy,time_limit,27613514.66,60.009679341000265,60.0097,428,MILP,
cost266-UUE,scip,time_limit,25719490.04,60.00730378999924,60.0073,2385,MILP,
cost266-UUE,cbc,time_limit,26464544.30999995,60.87676083500082,60.8768,2523,,
sp150x300d,samaya,time_limit,70,59.954515047,59.9634,38191,MILP,True
sp150x300d,highspy,optimal,69.0,0.0792319749998569,0.0792,1,MILP,
sp150x300d,scip,optimal,69.0,0.3721807620004256,0.3722,49,MILP,
sp150x300d,cbc,time_limit,69.0,64.42029824000019,64.4203,26509,,
neos-3024952-loue,samaya,time_limit,,60.004476424,60.0173,116,MILP,False
neos-3024952-loue,highspy,time_limit,,60.26505488900057,60.2651,1030,MILP,
neos-3024952-loue,scip,time_limit,,60.00057236900011,60.0006,202,MILP,
neos-3024952-loue,cbc,time_limit,,60.42775191100009,60.4278,532,,
neos-3627168-kasai,samaya,time_limit,992381.8799999997,59.992582556,60.007,6946,MILP,True
neos-3627168-kasai,highspy,time_limit,988585.6199999998,60.00842430499961,60.0084,4095,MILP,
neos-3627168-kasai,scip,time_limit,988585.6199999998,60.00091303699992,60.0009,14823,MILP,
neos-3627168-kasai,cbc,time_limit,989533.14,63.84996366499945,63.85,11132,,
csched008,samaya,time_limit,184,59.986979678,59.9961,10942,MILP,True
csched008,highspy,time_limit,178.0,60.008763470000304,60.0088,1662,MILP,
csched008,scip,time_limit,,60.00015713100038,60.0002,1101,MILP,
csched008,cbc,time_limit,,61.52721882100013,61.5272,19977,,
supportcase26,samaya,time_limit,1853.1883106214982,59.922687361,59.9326,149515,MILP,True
supportcase26,highspy,time_limit,1772.9625225490113,60.00400704200092,60.004,13943,MILP,
supportcase26,scip,time_limit,1827.7110431140811,60.000261502000285,60.0003,5732,MILP,
supportcase26,cbc,time_limit,1840.40648074,62.92953633400066,62.9295,14085,,
mcsched,samaya,time_limit,216909,60.005857487,60.0158,141,MILP,True
mcsched,highspy,time_limit,212859.99999999985,60.00565954200101,60.0057,971,MILP,
mcsched,scip,time_limit,212809.0,60.000787536000644,60.0008,1632,MILP,
mcsched,cbc,time_limit,213840.0,59.49751772399941,59.4975,2215,,
fastxgemm-n2r6s0t2,samaya,time_limit,527,60.002050902,60.0139,1736,MILP,True
fastxgemm-n2r6s0t2,highspy,time_limit,526.9999999999949,60.0071363549996,60.0071,4090,MILP,
fastxgemm-n2r6s0t2,scip,time_limit,527.0,60.001183403999676,60.0012,2673,MILP,
fastxgemm-n2r6s0t2,cbc,time_limit,527.0,60.240380275999996,60.2404,2732,,
csched007,samaya,time_limit,,59.996123843,60.0055,5164,MILP,False
csched007,highspy,time_limit,559.9999999999914,60.00281084400012,60.0028,5846,MILP,
csched007,scip,time_limit,,60.00010696699974,60.0001,181,MILP,
csched007,cbc,time_limit,,61.04690424200089,61.0469,16022,,
